fid,id,tipus,estat,altura,nom,fid_2,OBJECTID,CODI_ESPAI,NOM_ESPAI,ESCALA_DEL,CODI_GRUP,CODI_PNAC,NOM_PNAC,CODI_PNAT,NOM_PNAT,CODI_PNIN,NOM_PNIN,CODI_RNI,NOM_RNI,CODI_RNP,NOM_RNP,CODI_RNFS,NOM_RNFS,CODI_ZPP,NOM_ZPP,ANY_APROV,NORMATIVA,LINK_NORM,AMBIT,CODI_CDDA,AREA_HA,PERIM_M,CODI_PEIN,NOM_PEIN,OBS_ESCALA,PLANIF,DATA_DOGC,NUM_DOGC,SUP_TERR,SUP_MARI,AREA_OFI,BOE_RAM,CODI_RAM,MARI_RAM,NOM_RAM,NORMA,URL,CODI_XN2,FND_ZEC,FND_ZEPA,LIC_ZEC,NOM_XN2,SUP_ZEC,SUP_ZEPA,TIPOLOGIA,ZEPA,layer,path,distance
11,161878,eso,nap,0,l'Hort Solar,864,"1018",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES511014,356.73,70545.39,RCO,Riu Congost,Sense observacions,Sense planificaci�,No publicat,"-",356.73,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,117.797219004043
12,161889,eso,nap,0,l'Hort Solar,864,"1018",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES511014,356.73,70545.39,RCO,Riu Congost,Sense observacions,Sense planificaci�,No publicat,"-",356.73,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,257.588052023884
13,162188,eso,nap,0,Estació solar fotovoltica Comiols,1118,"1455",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510192,30861.55,256263.92,MSE,Serra del Montsec,Tamb� es disposa d'una delimitaci� a escala 1:5.000 d'aproximadament el 50% d'aquest espai. M�s informaci� a: ambitinformacionatura.tes@gencat.cat,Sense planificaci�,No publicat,"-",30861.55,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,1596.90535237357
14,162439,eso,nap,0,Parc d'energia solar de Prats de Lluçanès,647,"1705",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510058,3013.19,78521.3,MER,Riera de Merl�s,Sense observacions,Sense planificaci�,No publicat,"-",3013.19,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,845.634478250718
15,163038,eso,nap,0,Camp solar Fotovoltaic,873,"1586",,,1:5.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510180,4963.02,63029.53,CAS,Serra de Castelltallat,Sense observacions,Pla especial de delimitaci�,23/12/04,"4286",4963.02,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,2613.72867983553
16,163158,eso,nap,0,Camp solar de la Vinya de Querol,873,"1586",,,1:5.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510180,4963.02,63029.53,CAS,Serra de Castelltallat,Sense observacions,Pla especial de delimitaci�,23/12/04,"4286",4963.02,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,2818.8709023228
17,163612,eso,nap,0,Planta fotovoltaica dels Anolls,1380,"3291",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,,2101.44,47481.369,,,,,,,,,,,,,,,,ES5140023,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140023,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140023,S,Secans del Montsià,2116.24,2116.24,Espais de plana agrícola,S,ESPAISNATURALS_XARNAT_2000,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_XARNAT_2000/Shapefile/ESPAISNATURALS_XARNAT_2000.shp,305.944077561688
18,164393,eso,nap,0,Planta fotovoltaica de Camp de Fels,975,"1464",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES513016,75.47,19587.1,RIV,Riu Verneda,Sense observacions,Sense planificaci�,No publicat,"-",75.47,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,863.518537921374
19,164394,eso,nap,0,Planta fotovoltaica de Comajordana,975,"1464",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES513016,75.47,19587.1,RIV,Riu Verneda,Sense observacions,Sense planificaci�,No publicat,"-",75.47,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,883.290006385125
20,165361,eso,nap,0,Planta fotovoltaica Els Quadrons,17,"113",rnp,Reserva Natural Parcial de la Llosa,1:50.000,27,0,,0,,0,,0,,27,Reserva Natural Parcial de la Llosa,0,,0,,1987,"DECRET 123/1987, de 12 mar�, declaraci� de reserves naturals parcials per a la protecci� d'esp�cies animals en perill de desaparici� a Catalunya",http://portaldogc.gencat.cat/utilsEADOP/PDF/833/17257.pdf,Terrestre,ES513004,84.19,35956.24,,,,,,,,,,,,,,,,,,,,,,,,,ESPAISNATURALS_ENPE,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_ENPE/ESPAISNATURALS_ENPE.shp,328.208732172898
21,165465,eso,nap,0,Planta fotovoltaica de Navès,1087,"1108",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES513013,6297.96,67839.75,ORA,Aigua d'Ora,Sense observacions,Sense planificaci�,No publicat,"-",6303.69,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,2221.73609659051
22,165470,eso,nap,0,Parc Fotovoltaic de Montmajor,543,"1151",,,1:5.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510162,534.08,28955.09,NAV,Riera de Navel,Sense observacions,Pla especial de delimitaci�,23/12/04,"4286",534.08,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,3307.97999874415
23,166110,eso,nap,0,Planta fotovoltaica del Rourell,1616,"3458",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,,3013.194,78521.301,,,,,,,,,,,,,,,,ES5110009,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5110009,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5110009,S,Riera de Merlès,3013.19,3013.19,Espais de muntanya interior,S,ESPAISNATURALS_XARNAT_2000,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_XARNAT_2000/Shapefile/ESPAISNATURALS_XARNAT_2000.shp,3651.22997607277
